rxnid,Yield
test1,0.6452
test2,0.6452
test3,0.6452
test4,0.6452
test5,0.6452
test6,0.6452
test7,0.6452
test8,0.6452
test9,0.6452
test10,0.6452
test11,0.6452
test12,0.6452
test13,0.6452
test14,0.6452
test15,0.6452
test16,0.6452
test17,0.6452
test18,0.6452
test19,0.6452
test20,0.6452
test21,0.6452
test22,0.6452
test23,0.6452
test24,0.6452
test25,0.6452
test26,0.6452
test27,0.6452
test28,0.6452
test29,0.6452
test30,0.6452
test31,0.6452
test32,0.6452
test33,0.6452
test34,0.6452
test35,0.6452
test36,0.6452
test37,0.6452
test38,0.6452
test39,0.6452
test40,0.6452
test41,0.6452
test42,0.6452
test43,0.6452
test44,0.6452
test45,0.6452
test46,0.6452
test47,0.6452
test48,0.6452
test49,0.6452
test50,0.6452
test51,0.6452
test52,0.6452
test53,0.6452
test54,0.6452
test55,0.6452
test56,0.6452
test57,0.6452
test58,0.6452
test59,0.6452
test60,0.6452
test61,0.6601
test62,0.6452
test63,0.6452
test64,0.6452
test65,0.6452
test66,0.6452
test67,0.6452
test68,0.6452
test69,0.6452
test70,0.6452
test71,0.6452
test72,0.6452
test73,0.6452
test74,0.6452
test75,0.6452
test76,0.6452
test77,0.6452
test78,0.6452
test79,0.6452
test80,0.6452
test81,0.6452
test82,0.6452
test83,0.6452
test84,0.6452
test85,0.6452
test86,0.6452
test87,0.6452
test88,0.6452
test89,0.6452
test90,0.6601
test91,0.6452
test92,0.6452
test93,0.6452
test94,0.6452
test95,0.6452
test96,0.6452
test97,0.6452
test98,0.6452
test99,0.6452
test100,0.6452
test101,0.6452
test102,0.6452
test103,0.6452
test104,0.6452
test105,0.6452
test106,0.6452
test107,0.6452
test108,0.6452
test109,0.6452
test110,0.6452
test111,0.6452
test112,0.6452
test113,0.6452
test114,0.6452
test115,0.6452
test116,0.6452
test117,0.6452
test118,0.6452
test119,0.6452
test120,0.6452
test121,0.6452
test122,0.6452
test123,0.6452
test124,0.6452
test125,0.6452
test126,0.6452
test127,0.6452
test128,0.6452
test129,0.6452
test130,0.6452
test131,0.6452
test132,0.6452
test133,0.6452
test134,0.6601
test135,0.6452
test136,0.6452
test137,0.6452
test138,0.6452
test139,0.6452
test140,0.6452
test141,0.6452
test142,0.6452
test143,0.6452
test144,0.6452
test145,0.6452
test146,0.6452
test147,0.6452
test148,0.6452
test149,0.6452
test150,0.6452
test151,0.6452
test152,0.6452
test153,0.6452
test154,0.6452
test155,0.6452
test156,0.6452
test157,0.6452
test158,0.6452
test159,0.6452
test160,0.6452
test161,0.6452
test162,0.6452
test163,0.6452
test164,0.6452
test165,0.6452
test166,0.6452
test167,0.6452
test168,0.6452
test169,0.6452
test170,0.6452
test171,0.6452
test172,0.6452
test173,0.6452
test174,0.6452
test175,0.6452
test176,0.6452
test177,0.6452
test178,0.6452
test179,0.6452
test180,0.6452
test181,0.6452
test182,0.6452
test183,0.6452
test184,0.6452
test185,0.6452
test186,0.6452
test187,0.6452
test188,0.6452
test189,0.6452
test190,0.6452
test191,0.6452
test192,0.6452
test193,0.6452
test194,0.6452
test195,0.6452
test196,0.6452
test197,0.6452
test198,0.6452
test199,0.6452
test200,0.6452
test201,0.6452
test202,0.6452
test203,0.6452
test204,0.6452
test205,0.6452
test206,0.6452
test207,0.6452
test208,0.6452
test209,0.6452
test210,0.6452
test211,0.6452
test212,0.6452
test213,0.6452
test214,0.6452
test215,0.6452
test216,0.6452
test217,0.6452
test218,0.6452
test219,0.6452
test220,0.6452
test221,0.6452
test222,0.6452
test223,0.6452
test224,0.6452
test225,0.6452
test226,0.6452
test227,0.6452
test228,0.6452
test229,0.6452
test230,0.6452
test231,0.6452
test232,0.6452
test233,0.6452
test234,0.6452
test235,0.6601
test236,0.6452
test237,0.6452
test238,0.6452
test239,0.6452
test240,0.6452
test241,0.6452
test242,0.6452
test243,0.6452
test244,0.6452
test245,0.6452
test246,0.6452
test247,0.6452
test248,0.6452
test249,0.6452
test250,0.6452
test251,0.6452
test252,0.6452
test253,0.6452
test254,0.6452
test255,0.6452
test256,0.6452
test257,0.6452
test258,0.6452
test259,0.6452
test260,0.6452
test261,0.6452
test262,0.6452
test263,0.6452
test264,0.6452
test265,0.6452
test266,0.6452
test267,0.6452
test268,0.6452
test269,0.6452
test270,0.6452
test271,0.6452
test272,0.6452
test273,0.6452
test274,0.6452
test275,0.6452
test276,0.6452
test277,0.6452
test278,0.6452
test279,0.6452
test280,0.6452
test281,0.6452
test282,0.6452
test283,0.6452
test284,0.6452
test285,0.6452
test286,0.6452
test287,0.6452
test288,0.6452
test289,0.6452
test290,0.6452
test291,0.6452
test292,0.6452
test293,0.6452
test294,0.6452
test295,0.6452
test296,0.6452
test297,0.6452
test298,0.6452
test299,0.6452
test300,0.6452
test301,0.6452
test302,0.6452
test303,0.6452
test304,0.6452
test305,0.6452
test306,0.6601
test307,0.6452
test308,0.6452
test309,0.6452
test310,0.6452
test311,0.6452
test312,0.6452
test313,0.6452
test314,0.6452
test315,0.6452
test316,0.6452
test317,0.6452
test318,0.6452
test319,0.6452
test320,0.6452
test321,0.6452
test322,0.6452
test323,0.6452
test324,0.6452
test325,0.6452
test326,0.6452
test327,0.6452
test328,0.6452
test329,0.6452
test330,0.6452
test331,0.6452
test332,0.6452
test333,0.6452
test334,0.6452
test335,0.6452
test336,0.6452
test337,0.6452
test338,0.6452
test339,0.6452
test340,0.6452
test341,0.6452
test342,0.6452
test343,0.6452
test344,0.6601
test345,0.6452
test346,0.6452
test347,0.6452
test348,0.6452
test349,0.6452
test350,0.6452
test351,0.6452
test352,0.6452
test353,0.6452
test354,0.6452
test355,0.6452
test356,0.6452
test357,0.6452
test358,0.6452
test359,0.6452
test360,0.6452
test361,0.6452
test362,0.6452
test363,0.6452
test364,0.6452
test365,0.6452
test366,0.6452
test367,0.6452
test368,0.6452
test369,0.6452
test370,0.6452
test371,0.6452
test372,0.6452
test373,0.6452
test374,0.6452
test375,0.6452
test376,0.6452
test377,0.6452
test378,0.6452
test379,0.6452
test380,0.6452
test381,0.6452
test382,0.6452
test383,0.6452
test384,0.6452
test385,0.6452
test386,0.6452
test387,0.6452
test388,0.6452
test389,0.6452
test390,0.6452
test391,0.6452
test392,0.6452
test393,0.6452
test394,0.6452
test395,0.6453
test396,0.6452
test397,0.6452
test398,0.6452
test399,0.6452
test400,0.6452
test401,0.6452
test402,0.6452
test403,0.6452
test404,0.6452
test405,0.6452
test406,0.6452
test407,0.6452
test408,0.6452
test409,0.6452
test410,0.6452
test411,0.6452
test412,0.6452
test413,0.6452
test414,0.6452
test415,0.6452
test416,0.6452
test417,0.6452
test418,0.6452
test419,0.6452
test420,0.6452
test421,0.6452
test422,0.6452
test423,0.6452
test424,0.6452
test425,0.6452
test426,0.6453
test427,0.6452
test428,0.6452
test429,0.6452
test430,0.6452
test431,0.6452
test432,0.6452
test433,0.6452
test434,0.6601
test435,0.6452
test436,0.6452
test437,0.6452
test438,0.6452
test439,0.6452
test440,0.6452
test441,0.6452
test442,0.6452
test443,0.6452
test444,0.6452
test445,0.6452
test446,0.6452
test447,0.6452
test448,0.6452
test449,0.6452
test450,0.6452
test451,0.6601
test452,0.6452
test453,0.6452
test454,0.6452
test455,0.6452
test456,0.6452
test457,0.6452
test458,0.6452
test459,0.6452
test460,0.6452
test461,0.6452
test462,0.6452
test463,0.6452
test464,0.6452
test465,0.6452
test466,0.6452
test467,0.6452
test468,0.6452
test469,0.6452
test470,0.6452
test471,0.6452
test472,0.6452
test473,0.6452
test474,0.6452
test475,0.6452
test476,0.6452
test477,0.6452
test478,0.6452
test479,0.6452
test480,0.6452
test481,0.6452
test482,0.6452
test483,0.6452
test484,0.6452
test485,0.6452
test486,0.6452
test487,0.6452
test488,0.6452
test489,0.6452
test490,0.6452
test491,0.6452
test492,0.6452
test493,0.6452
test494,0.6452
test495,0.6452
test496,0.6452
test497,0.6452
test498,0.6452
test499,0.6452
test500,0.6452
test501,0.6452
test502,0.6452
test503,0.6452
test504,0.6452
test505,0.6452
test506,0.6452
test507,0.6452
test508,0.6452
test509,0.6452
test510,0.6452
test511,0.6452
test512,0.6452
test513,0.6452
test514,0.6452
test515,0.6452
test516,0.6452
test517,0.6452
test518,0.6452
test519,0.6452
test520,0.6452
test521,0.6452
test522,0.6452
test523,0.6452
test524,0.6452
test525,0.6452
test526,0.6452
test527,0.6452
test528,0.6452
test529,0.6452
test530,0.6452
test531,0.6452
test532,0.6452
test533,0.6452
test534,0.6452
test535,0.6452
test536,0.6452
test537,0.6452
test538,0.6452
test539,0.6452
test540,0.6452
test541,0.6452
test542,0.6452
test543,0.6452
test544,0.6452
test545,0.6452
test546,0.6452
test547,0.6452
test548,0.6452
test549,0.6452
test550,0.6452
test551,0.6452
test552,0.6452
test553,0.6452
test554,0.6452
test555,0.6452
test556,0.6452
test557,0.6452
test558,0.6452
test559,0.6452
test560,0.6452
test561,0.6452
test562,0.6452
test563,0.6452
test564,0.6452
test565,0.6452
test566,0.6601
test567,0.6452
test568,0.6452
test569,0.6452
test570,0.6452
test571,0.6452
test572,0.6452
test573,0.6452
test574,0.6452
test575,0.6452
test576,0.6452
test577,0.6452
test578,0.6452
test579,0.6452
test580,0.6452
test581,0.6452
test582,0.6452
test583,0.6452
test584,0.6452
test585,0.6452
test586,0.6452
test587,0.6452
test588,0.6452
test589,0.6452
test590,0.6452
test591,0.6452
test592,0.6452
test593,0.6452
test594,0.6452
test595,0.6452
test596,0.6452
test597,0.6452
test598,0.6452
test599,0.6452
test600,0.6452
test601,0.6452
test602,0.6452
test603,0.6452
test604,0.6452
test605,0.6452
test606,0.6452
test607,0.6452
test608,0.6452
test609,0.6452
test610,0.6452
test611,0.6452
test612,0.6452
test613,0.6452
test614,0.6452
test615,0.6453
test616,0.6452
test617,0.6452
test618,0.6452
test619,0.6452
test620,0.6452
test621,0.6452
test622,0.6452
test623,0.6452
test624,0.6452
test625,0.6452
test626,0.6452
test627,0.6452
test628,0.6601
test629,0.6452
test630,0.6452
test631,0.6452
test632,0.6452
test633,0.6452
test634,0.6452
test635,0.6452
test636,0.6452
test637,0.6452
test638,0.6452
test639,0.6452
test640,0.6452
test641,0.6452
test642,0.6452
test643,0.6452
test644,0.6452
test645,0.6601
test646,0.6452
test647,0.6452
test648,0.6452
test649,0.6452
test650,0.6452
test651,0.6452
test652,0.6452
test653,0.6452
test654,0.6452
test655,0.6452
test656,0.6452
test657,0.6452
test658,0.6452
test659,0.6452
test660,0.6452
test661,0.6452
test662,0.6452
test663,0.6452
test664,0.6452
test665,0.6452
test666,0.6452
test667,0.6452
test668,0.6452
test669,0.6452
test670,0.6452
test671,0.6452
test672,0.6452
test673,0.6452
test674,0.6452
test675,0.6452
test676,0.6452
test677,0.6452
test678,0.6452
test679,0.6452
test680,0.6452
test681,0.6452
test682,0.6452
test683,0.6452
